hour,ops,channel,customer_id,customer_at,partner_at,frt_min,sla_ok,customer_msg,partner_msg,channel_url
9,True,c08eebbf7ae611fe894241315874,Customer_3752073,09:15:38,10:28:38,73.0,False,[일정확인]안녕하세요 내일 11시 이사견적 방문하시는건지 확인부탁드립니다.  담당자 연락처도 전달부탁 드립니다.,"· 이름: 김일신   · 이동 수단: 자차 방문 1일 전에 플래너 연락처(전화번호)를 안내드릴 예정입니다. 예약 변경, 일정 문의, 기타 궁금한",sendbird_group_channel_209709691_77ebc596ab2dc08eebbf7ae611fe894241315874
9,True,6068b00164ca9af13d13a27a4ce2,Customer_3725159,09:23:36,09:27:22,3.8,False,안녕하세요. 집이 골목 안쪽에 있어서요. 현장견적때 트럭이 들어올 경로가 잘 체크가 된건지 확인요청드입니다. 현장견적때 정확히 어디로 들어갈지 ,"📦 [계약 이후 이사업체와 직접 소통해주세요!]  고객님, 계약이 완료된 이후부터는 실제 이사를 담당하는 이사파트너와 직접 자주 소통해주시는 것",sendbird_group_channel_209709691_c7e2688c1ec56068b00164ca9af13d13a27a4ce2
9,True,ac88f875835d3b751559232158c4,Customer_3591615,09:27:24,09:29:43,2.3,True,저번에 미스터방 견적왓엇는데 이번에도되는지 확인해주새요~ 포함해서 다른견적같이받아보고싶어요,안녕하세요. 해당업체 참여의사를 확인해보겠습니다.,sendbird_group_channel_363390731_d8545a80c7ffac88f875835d3b751559232158c4
9,True,6df7e16eb6c72a896613dfda9479,Customer_957436,09:33:04,10:05:55,32.9,False,아름다운이사 견적 다시 부탁드려요,네 잠시만 기다려주세요,sendbird_group_channel_118818941_5210d3cac74d6df7e16eb6c72a896613dfda9479
9,True,7ae7c8c0b6a5261b4bc0c99d9664,Customer_3753333,09:34:51,10:05:43,30.9,False,왜 견적이 하나도 안올까요?,잠시만 기다려주세요.,sendbird_group_channel_209709691_fd3a11573fb97ae7c8c0b6a5261b4bc0c99d9664
9,True,e43621478a13ed7fe241ed66fedb,Customer_3753737,09:40:15,10:27:14,47.0,False,이사계혁이 변경되어 이번 신청한 방문견적요청을 취소합니다. 미안합니다.,네 취소하겠습니다,sendbird_group_channel_384954953_fc1f465606efe43621478a13ed7fe241ed66fedb
9,True,5bb8edf0843d6add1203850508b7,Customer_3751084,09:44:46,10:04:55,20.1,False,오래걸릴까요??,잠시만 기다려주세요,sendbird_group_channel_384615716_156d37e11f635bb8edf0843d6add1203850508b7
10,True,39f0a38cbc6015aa394574baca63,Customer_3754399,10:03:53,10:26:16,22.4,False,안녕하세요 저 어제 취소했습니다!,넵 감사합니다,sendbird_group_channel_209709691_1c3282ef77de39f0a38cbc6015aa394574baca63
10,True,e21f835ab7c03a0a31355dcacd44,Customer_3750312,10:12:00,10:16:17,4.3,False,네 감사합니다,감사합니다,sendbird_group_channel_384513733_a34730311be3e21f835ab7c03a0a31355dcacd44
10,True,fba19ebbc3ef631c21023a8471df,Customer_3750679,10:25:51,10:29:08,3.3,False,매니저님 2 in 1 에어컨(거실형/벽걸이 실내기 2개 + 실외기 1개)를 떼어내서 이사짐으로 옮기는 작업도 포함이죠,안녕하세요.,sendbird_group_channel_209709691_1caf6b0c2443fba19ebbc3ef631c21023a8471df
10,True,0fa3ae80a72ff98b47625e8fd86c,Customer_3754641,10:28:10,10:32:55,4.7,False,잘못 예약한거라 예약 취소 부탁드립니다,넵 취소로 돕겠습니다.,sendbird_group_channel_209709691_2bfaf6386f5d0fa3ae80a72ff98b47625e8fd86c
10,True,b6fbeb7d117beffe62ac314a400d,Customer_3752801,10:29:10,10:30:02,0.9,True,감사합니다!!,감사합니다.,sendbird_group_channel_384825118_70538c26027cb6fbeb7d117beffe62ac314a400d
10,True,c6cd928c563b7c1fd4530e8e4f0c,Customer_3743656,10:31:04,10:32:36,1.5,True,네 알겠습니다!! 감사합니당,감사합니다,sendbird_group_channel_383085032_c30f8e627c46c6cd928c563b7c1fd4530e8e4f0c
10,True,031b6dc50d38e11f25c2a636ee0d,Customer_3740774,10:43:39,10:47:29,3.8,False,안녕하세요 혹시 에어컨 이전설치 견적도 받을수잇을까요?,앱에서 에어컨 설치 견적을 받으실 수 있어요,sendbird_group_channel_209709691_92ffcadd6a6b031b6dc50d38e11f25c2a636ee0d
10,True,9d5d4448ddbd16de4af606ebebc4,Customer_3643248,10:53:17,10:56:13,2.9,True,주소지 입력이 잘못되었어요 죄송합니다 ㅠ,안녕하세요. 다시 접수해주시면 그 주소에 맞게 플래너를 배정토록 하겠습니다.,sendbird_group_channel_369993771_f0ae38bb49119d5d4448ddbd16de4af606ebebc4
10,True,b5628de0550e7440a80f63b0e6a3,Customer_3754154,10:54:45,10:55:51,1.1,True,타업체 계약을 해서 그런데 방문견적 취소 가능할까요?,취소할게요! 감사합니다.,sendbird_group_channel_209709691_94a59e89a86db5628de0550e7440a80f63b0e6a3
10,True,86388a392a654d97bc283a2712b3,Customer_3754767,10:55:58,11:03:05,7.1,False,7월 31일  그 시간은 불가능합니다. 추후 별도로 요청드리겠습니다. 예약취소 부탁드립니다,감사합니다. 취소로돕겠습니다.,sendbird_group_channel_385100570_65daf58c99e386388a392a654d97bc283a2712b3
11,True,847dd65083758d503d2e15e2a003,Customer_3406217,11:07:22,11:08:34,1.2,True,넵넵,감사합니다,sendbird_group_channel_260869591_6eb248600ef7847dd65083758d503d2e15e2a003
11,True,ee252c81048ce347954c7cb9d484,Customer_3740203,11:13:06,11:15:13,2.1,True,네  확인해보겠습니다,감사합니다.,sendbird_group_channel_382114607_62d685050becee252c81048ce347954c7cb9d484
