hour,ops,channel,customer_id,customer_at,partner_at,frt_min,sla_ok,customer_msg,partner_msg,channel_url
9,False,cf89ff23d44912a308a4de1b51e7,Customer_3744068,09:28:39,10:09:16,40.6,False,혹시오늘좀더,안녕하세요. 당일 플래너로부터 연락받으셨을까요?,sendbird_group_channel_209709691_ea5375bb9795cf89ff23d44912a308a4de1b51e7
10,True,3267b162df55ae2ae2e2bf6eb74d,Customer_3751536,10:02:15,10:09:01,6.8,False,안녕하세요 혹시 오늘 11시에 방문 주시는 일정 동일한지 확인차 연락드립니다., 날짜: 2026-08-01 (토)   · 시간: 11:30 ~ 12:30   안녕하세요. 금일 플래너로부터 연락받으셨을까요,sendbird_group_channel_384660292_f4d69e475b4a3267b162df55ae2ae2e2bf6eb74d
10,True,837acbfc0a699310d0a55990a110,Customer_3746130,10:14:35,10:15:01,0.4,True,안녕하세요 버리기로 한 짐중에 책상이 추가됩니다,책상이 어느정도 의 사이즈이죠?,sendbird_group_channel_383906437_f18098ec91e4837acbfc0a699310d0a55990a110
10,True,d640160a30589b857d12d0e70d0e,Customer_3707619,10:15:20,10:15:49,0.5,True,"안녕하세요, 문의드립니다. 미소 통해서 계약 후 50만원 입금드렸고 이사업체에 이사 후 나머지 잔금 500만원 입금 드린 후 세금계산서 발행 요","안녕하세요,. 상황을 잘 전달해주셔서 감사합니다.",sendbird_group_channel_209709691_cc676586f552d640160a30589b857d12d0e70d0e
10,True,a622b1c432ca39576872742153d2,Customer_3755227,10:23:26,10:23:47,0.4,True,저 죄송한데 내일 오시는분 연락처 좀 알수있을까요?,잠시만 기다려주세요.,sendbird_group_channel_209709691_e145861e3fa3a622b1c432ca39576872742153d2
10,True,c25c6b99d74501356a1142a08494,Customer_3749964,10:31:39,10:32:37,1.0,True,계약서와 영수증을 따로 발급받을 수 있나요?,넵 맞습니다.,sendbird_group_channel_384463632_308c4e8264bdc25c6b99d74501356a1142a08494
10,True,d9323304e93b38218d582266a2e6,Customer_3736347,10:34:12,10:38:43,4.5,False,25일 변경 가능할까요?,넵 잠시만 기다려주세요.,sendbird_group_channel_381504736_bfd5d73b9745d9323304e93b38218d582266a2e6
10,True,3919c7646f0ab9e7ba7d8aed58aa,Customer_3755462,10:35:20,10:38:30,3.2,False,24시간 안에 견적이 온다고 해서 기다리고는 있는데 주말인데도 견적이 오긴 하나요?,네 맞습니다. 잠시만 기다려주세요,sendbird_group_channel_209709691_8483ed3fa2e53919c7646f0ab9e7ba7d8aed58aa
10,True,6282b647eae0f95ec3d73f586b56,Customer_1520939,10:47:53,10:49:12,1.3,True,다른 업체 통해서 진행하기로 했습니다ㅜㅜ 더운 날 고생해주셨는데 감사합니다. 번창하시길 바라겠습니다!  추가로 견적은 더이상 받지 않아도 될 것,네 종료하겠습니다. 감사합니다.,sendbird_group_channel_230394024_bcf3a15d47556282b647eae0f95ec3d73f586b56
10,True,9da06829eb59b0240d8fabcaf167,Customer_3756762,10:56:00,11:01:59,6.0,False,오전이 더 편한데 오전 가능할까요?,잠시만요 확인하겠습니다.,sendbird_group_channel_209709691_ea3c9aece4fe9da06829eb59b0240d8fabcaf167
11,True,c08eebbf7ae611fe894241315874,Customer_3752073,11:01:42,11:05:25,3.7,False,2번과 3번 고민중인데 혹시 외국인 직원이 포함되었는지 알수 있을까요?,감사합니다.,sendbird_group_channel_209709691_77ebc596ab2dc08eebbf7ae611fe894241315874
11,True,f5e44222f59ef3f0e95565758d1e,Customer_3748224,11:14:56,11:16:22,1.4,True,다른 업체랑 계약했습니다,"감사합니다, 취소로 도울게요.",sendbird_group_channel_384227843_d11a8dc924d8f5e44222f59ef3f0e95565758d1e
11,True,c6b9258fe54965ae897cf0905e6c,Customer_3675644,11:20:34,11:23:27,2.9,True,국제트랜스로 하고싶은데 이사 시작시간을 한시간정도 늦출수있을까요??,그날 출발지에 누가 들어오나요?,sendbird_group_channel_372995459_4858987f68aac6b9258fe54965ae897cf0905e6c
11,True,defd668552dccfd91df93d8abbbd,Customer_3751201,11:21:35,11:23:13,1.6,True,안녕하세요 이사업체를 구하게되서 취소하겠습니다. 감사합니다,취소로 돕겠습니다.  감사합니다.,sendbird_group_channel_384626491_da89ab6365d1defd668552dccfd91df93d8abbbd
